,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
3598,1965,Unprovoked,australia,M,40,N,12,28,1965-12-28,40.0,other/NA,A.M.,spearfishing,spearfishing
3599,1965,Unprovoked,johnston island,M,,N,12,19,1965-12-19,,other/NA,P.M.,freediving,Other
3600,1965,Boat,australia,,,N,12,10,1965-12-10,,other/NA,,fishing,fishing
3601,1965,Provoked,australia,M,43,Y,11,21,1965-11-21,43.0,other/NA,A.M.,fishing,fishing
3602,1965,Unprovoked,pacific ocean,M,44,N,11,21,1965-11-21,44.0,other/NA,,hauling,Other
3603,1965,Invalid,panama,,,UNKNOWN,11,03,1965-11-03,,other/NA,P.M.,,Other
3604,1965,Unprovoked,australia,M,24,N,11,03,1965-11-03,24.0,other/NA,A.M.,surfing,surfing
3605,1965,Unprovoked,,M,39,N,10,21,1965-10-21,39.0,other/NA,P.M.,,Other
3606,1965,Unprovoked,bahamas,M,32,N,10,16,1965-10-16,32.0,other/NA,,sunbathing,Other
3607,1965,Unprovoked,bahamas,F,,Y,10,16,1965-10-16,,other/NA,A.M.,playing,Other
3608,1965,Unprovoked,new britain,M,15,Y,10,10,1965-10-10,15.0,other/NA,,spearfishing,spearfishing
3609,1965,Unprovoked,papua new guinea,M,27,N,10,01,1965-10-01,27.0,other/NA,,wading,wading
3610,1965,Provoked,papua new guinea,M,,N,09,21,1965-09-21,,other/NA,,spearing,Other
3611,1965,Provoked,papua new guinea,M,,N,09,12,1965-09-12,,other/NA,,fishing,fishing
3612,1965,Unprovoked,mexico,M,23,N,09,08,1965-09-08,23.0,other/NA,P.M.,,Other
3613,1965,Invalid,philippines,M,,UNKNOWN,08,30,1965-08-30,,other/NA,,,Other
3614,1965,Unprovoked,usa,M,15,N,08,26,1965-08-26,15.0,other/NA,,swimming,swimming
3615,1965,Provoked,bahamas,M,,N,07,30,1965-07-30,,other/NA,,attempting,Other
3616,1965,Unprovoked,mexico,M,25,Y,07,26,1965-07-26,25.0,other/NA,,bathing,bathing
3617,1965,Boat,bermuda,,,N,07,02,1965-07-02,,other/NA,P.M.,,Other
3618,1965,Invalid,usa,M,6,UNKNOWN,06,19,1965-06-19,,other/NA,A.M.,wading,wading
3619,1965,Invalid,usa,M,,UNKNOWN,06,18,1965-06-18,,other/NA,,diving,diving
3620,1965,Unprovoked,mexico,M,38,N,06,09,1965-06-09,38.0,other/NA,P.M.,swimming,swimming
3621,1965,Unprovoked,papua new guinea,M,,N,06,01,1965-06-01,,other/NA,,spearfishing,spearfishing
3622,1965,Unprovoked,south pacific ocean,M,,Y,06,01,1965-06-01,,other/NA,P.M.,treading,Other
3623,1965,Unprovoked,mexico,M,,Y,05,29,1965-05-29,,other/NA,A.M.,swimming,swimming
3624,1965,Unprovoked,mexico,M,,Y,05,28,1965-05-28,,other/NA,P.M.,swimming,swimming
3625,1965,Unprovoked,egypt,M,,N,05,01,1965-05-01,,other/NA,A.M.,standing,standing
3626,1965,Unprovoked,jamaica,M,,N,05,01,1965-05-01,,other/NA,,diving,diving
3627,1965,Unprovoked,mexico,M,35,N,05,01,1965-05-01,35.0,other/NA,,swimming,swimming
3628,1965,Unprovoked,usa,M,49,N,04,29,1965-04-29,49.0,bull shark,,,Other
3629,1965,Invalid,usa,M,19,UNKNOWN,04,25,1965-04-25,19.0,other/NA,P.M.,surfing,surfing
